,Current,6/30/2024,3/31/2024,12/31/2023
Market Cap,1.20M ,10.96M ,12.04M ,31.68M 
Enterprise Value,1.24M ,10.19M ,11.81M ,31.45M 
Trailing P/E,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- 
Price/Sales,0.19 ,3.36 ,10.45 ,27.48 
Price/Book,0.46 ,4.41 ,-- ,-- 
Enterprise Value/Revenue,0.50 ,4.66 ,10.25 ,27.28 
Enterprise Value/EBITDA,-- ,-- ,-- ,-27.39 
