,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,7.25B ,9.11B ,6.36B ,10.40B ,15.54B ,12.04B 
Enterprise Value,8.08B ,10.08B ,7.41B ,11.52B ,16.74B ,13.37B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,73.53 ,56.50 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,3.55 ,4.23 ,2.90 ,4.64 ,7.56 ,6.11 
Price/Book,2.28 ,2.86 ,2.02 ,3.28 ,4.85 ,3.46 
Enterprise Value/Revenue,4.11 ,4.88 ,3.45 ,5.27 ,8.25 ,7.40 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-2.85k ,-36.93k 
