,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,8.57B ,10.14B ,4.30B ,4.33B ,6.64B ,3.49B 
Enterprise Value,7.45B ,9.23B ,3.30B ,3.25B ,5.30B ,2.84B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,-- ,-- ,-- ,-- ,2.70k ,548.02 
Price/Book,4.25 ,5.90 ,2.34 ,2.19 ,3.13 ,2.45 
Enterprise Value/Revenue,1.83k ,-- ,-- ,-- ,2.65k ,567.78 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-27.58 ,-13.71 
