,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,26.40B ,24.20B ,25.78B ,26.75B ,21.31B ,28.64B 
Enterprise Value,26.81B ,24.59B ,26.10B ,26.31B ,20.76B ,28.17B 
Trailing P/E,29.12 ,30.41 ,27.19 ,25.93 ,19.40 ,24.59 
Forward P/E,22.03 ,18.69 ,22.88 ,21.74 ,14.97 ,17.95 
PEG Ratio (5yr expected),3.15 ,2.49 ,2.86 ,3.27 ,1.76 ,1.87 
Price/Sales,5.33 ,4.78 ,4.93 ,5.02 ,3.92 ,5.19 
Price/Book,5.02 ,4.94 ,5.35 ,5.75 ,4.35 ,6.09 
Enterprise Value/Revenue,5.33 ,4.76 ,4.88 ,4.81 ,3.71 ,5.04 
Enterprise Value/EBITDA,21.76 ,17.69 ,16.72 ,15.97 ,11.90 ,16.53 
