,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,18.03B ,17.41B ,19.41B ,24.38B ,18.55B ,21.95B 
Enterprise Value,19.55B ,18.78B ,20.55B ,26.36B ,20.05B ,23.21B 
Trailing P/E,15.37 ,14.24 ,15.55 ,20.37 ,15.31 ,18.09 
Forward P/E,16.31 ,14.18 ,14.99 ,18.80 ,13.99 ,17.67 
PEG Ratio (5yr expected),2.49 ,1.67 ,1.53 ,1.96 ,1.46 ,1.82 
Price/Sales,1.64 ,1.58 ,1.79 ,2.31 ,1.80 ,2.17 
Price/Book,7.68 ,7.57 ,8.51 ,12.02 ,9.04 ,10.88 
Enterprise Value/Revenue,1.73 ,1.66 ,1.83 ,2.42 ,1.87 ,2.21 
Enterprise Value/EBITDA,10.61 ,9.89 ,10.65 ,14.20 ,10.61 ,12.29 
