,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,10.48B ,8.06B ,8.91B ,8.53B ,7.01B ,9.26B 
Enterprise Value,23.33B ,21.25B ,22.57B ,21.72B ,19.87B ,21.69B 
Trailing P/E,24.58 ,23.20 ,53.67 ,-- ,-- ,-- 
Forward P/E,13.05 ,14.12 ,16.89 ,13.91 ,11.44 ,29.94 
PEG Ratio (5yr expected),0.34 ,0.37 ,0.45 ,-- ,-- ,-- 
Price/Sales,1.18 ,0.90 ,1.05 ,1.12 ,0.97 ,1.49 
Price/Book,15.12 ,22.82 ,29.85 ,19.44 ,460.61 ,-- 
Enterprise Value/Revenue,2.57 ,2.38 ,2.64 ,2.69 ,2.77 ,3.53 
Enterprise Value/EBITDA,10.85 ,10.40 ,12.72 ,15.93 ,30.50 ,8.77k 
