,Current
Market Cap,2.35M 
Enterprise Value,912.98k 
Trailing P/E,-- 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,15.40 
Price/Book,0.58 
Enterprise Value/Revenue,7.95 
Enterprise Value/EBITDA,-4.22 
