,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,19.43B ,19.03B ,18.50B ,21.60B ,16.44B ,13.66B 
Enterprise Value,19.89B ,19.56B ,18.65B ,21.68B ,16.67B ,13.87B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,33.67 ,32.26 ,83.33 ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,4.13 ,4.30 ,4.38 ,5.73 ,4.91 ,4.45 
Price/Book,18.05 ,14.66 ,22.30 ,25.73 ,20.79 ,13.47 
Enterprise Value/Revenue,4.32 ,4.55 ,4.58 ,5.91 ,5.07 ,4.62 
Enterprise Value/EBITDA,-36.37 ,-- ,-- ,-242.41 ,906.03 ,-60.05 
