,Current
Market Cap,397.77M 
Enterprise Value,-- 
Trailing P/E,209.14 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,106.71 
Price/Book,7.10 
Enterprise Value/Revenue,106.71 
Enterprise Value/EBITDA,-- 
