,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.21B ,1.27B ,1.14B ,1.43B ,1.85B ,1.44B 
Enterprise Value,1.78B ,959.39M ,766.92M ,993.46M ,1.40B ,1.05B 
Trailing P/E,6.95 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,-- ,-- ,-- ,-- ,-- ,-- 
Price/Book,4.72 ,3.85 ,3.12 ,4.03 ,5.12 ,5.28 
Enterprise Value/Revenue,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/EBITDA,-0.39 ,-- ,-- ,-- ,-13.37 ,-23.82 
