,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,9.15B ,10.06B ,10.94B ,11.95B ,10.18B ,6.03B 
Enterprise Value,-- ,-- ,-- ,-- ,-- ,-- 
Trailing P/E,6.99 ,6.59 ,-- ,-- ,6.24 ,9.64 
Forward P/E,-- ,-- ,-- ,-- ,7.22 ,8.05 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.80 ,2.66 ,-- ,-- ,2.31 ,2.62 
Price/Book,1.44 ,1.46 ,-- ,-- ,1.26 ,1.29 
Enterprise Value/Revenue,3.52 ,3.60 ,-- ,-- ,3.32 ,2.96 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
