,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,25.67B ,15.39B ,10.24B ,6.04B ,4.68B ,2.76B 
Enterprise Value,30.94B ,21.57B ,16.05B ,11.88B ,12.51B ,11.22B 
Trailing P/E,65.60 ,51.69 ,117.21 ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.47 ,2.60 ,1.64 ,0.83 ,0.38 ,0.21 
Price/Book,42.01 ,53.25 ,42.17 ,17.84 ,-- ,-- 
Enterprise Value/Revenue,2.47 ,1.92 ,1.49 ,1.06 ,1.06 ,0.88 
Enterprise Value/EBITDA,30.25 ,14.40 ,13.85 ,14.07 ,12.38 ,80.15 
