,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,71.87B ,69.59B ,74.47B ,64.21B ,51.15B ,62.99B 
Enterprise Value,87.11B ,85.47B ,90.32B ,81.32B ,68.36B ,80.50B 
Trailing P/E,16.12 ,16.86 ,18.01 ,17.72 ,15.20 ,23.25 
Forward P/E,14.99 ,16.18 ,17.30 ,15.20 ,12.32 ,16.42 
PEG Ratio (5yr expected),1.83 ,2.31 ,2.48 ,1.04 ,0.78 ,0.78 
Price/Sales,0.67 ,0.65 ,0.69 ,0.60 ,0.47 ,0.58 
Price/Book,4.98 ,5.03 ,5.54 ,5.13 ,4.27 ,5.43 
Enterprise Value/Revenue,0.81 ,0.80 ,0.84 ,0.76 ,0.63 ,0.74 
Enterprise Value/EBITDA,9.54 ,9.91 ,10.50 ,10.37 ,9.13 ,12.25 
