,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.33B ,1.13B ,1.04B ,460.70M ,252.59M ,364.97M 
Enterprise Value,2.21B ,1.01B ,916.25M ,341.93M ,-13.53M ,98.85M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,265.96 ,67.04 ,47.46 ,17.08 ,10.90 ,17.84 
Price/Book,14.53 ,8.32 ,8.64 ,1.38 ,2.39 ,3.40 
Enterprise Value/Revenue,299.08 ,73.24 ,49.04 ,14.99 ,-2.97 ,5.52 
Enterprise Value/EBITDA,-1.45 ,-- ,-- ,-- ,0.19 ,-1.07 
