,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,86.99B ,78.50B ,60.70B ,70.52B ,66.21B ,64.19B 
Enterprise Value,85.05B ,74.61B ,56.07B ,66.14B ,65.31B ,64.85B 
Trailing P/E,20.76 ,18.94 ,14.62 ,17.45 ,18.33 ,16.38 
Forward P/E,17.95 ,16.10 ,13.79 ,13.09 ,10.88 ,10.33 
PEG Ratio (5yr expected),1.47 ,1.42 ,1.22 ,0.56 ,0.51 ,0.49 
Price/Sales,2.91 ,2.70 ,2.08 ,2.49 ,2.37 ,2.33 
Price/Book,4.31 ,3.81 ,2.89 ,3.35 ,3.33 ,3.21 
Enterprise Value/Revenue,2.70 ,2.40 ,1.84 ,2.22 ,2.24 ,2.27 
Enterprise Value/EBITDA,11.93 ,10.58 ,8.06 ,9.68 ,10.51 ,9.81 
