,Current,6/30/2024,12/31/2023,9/30/2023,6/30/2023,3/31/2023
Market Cap,226.60B ,199.90B ,230.02B ,273.61B ,232.17B ,261.63B 
Enterprise Value,192.80B ,164.30B ,201.64B ,245.91B ,206.99B ,233.75B 
Trailing P/E,17.75 ,16.65 ,178.47 ,-- ,-- ,-- 
Forward P/E,9.91 ,11.25 ,16.50 ,20.24 ,56.18 ,175.44 
PEG Ratio (5yr expected),0.45 ,0.27 ,0.28 ,0.26 ,0.19 ,-- 
Price/Sales,1.74 ,1.63 ,1.94 ,2.44 ,2.15 ,2.49 
Price/Book,3.73 ,3.80 ,4.86 ,5.92 ,5.40 ,5.64 
Enterprise Value/Revenue,1.41 ,1.30 ,1.63 ,2.20 ,1.95 ,2.27 
Enterprise Value/EBITDA,14.17 ,13.04 ,205.14 ,118.06 ,157.89 ,-292.92 
