,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,6.31B ,1.87B ,1.49B ,2.08B ,2.54B ,3.01B 
Enterprise Value,6.02B ,1.61B ,1.24B ,1.73B ,2.30B ,2.78B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,163.22 ,58.02 ,56.76 ,91.81 ,126.16 ,181.58 
Price/Book,14.47 ,4.04 ,3.13 ,4.34 ,5.14 ,5.80 
Enterprise Value/Revenue,160.72 ,51.46 ,48.78 ,78.62 ,116.38 ,170.11 
Enterprise Value/EBITDA,-10.33 ,-- ,-- ,-- ,-45.10 ,-70.60 
