,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,202.80M ,173.39M ,592.06M ,979.30M ,660.85M ,1.31B 
Enterprise Value,-153.89M ,-173.38M ,135.91M ,399.56M ,137.42M ,889.28M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,13.32 ,18.47 ,73.40 ,154.21 ,128.19 ,437.60 
Price/Book,0.51 ,0.42 ,1.19 ,1.63 ,1.48 ,3.56 
Enterprise Value/Revenue,9.99 ,-- ,19.99 ,82.21 ,35.24 ,372.86 
Enterprise Value/EBITDA,-0.14 ,-- ,-1.43 ,-4.12 ,-1.40 ,-6.95 
