,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,75.15B ,117.80B ,71.07B ,77.92B ,153.09B ,127.08B 
Enterprise Value,71.63B ,114.31B ,64.96B ,61.60B ,145.70B ,128.29B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.00 ,1.52 ,1.04 ,1.06 ,2.27 ,2.26 
Price/Book,6.17 ,6.61 ,3.22 ,2.83 ,8.87 ,8.20 
Enterprise Value/Revenue,1.05 ,1.62 ,1.10 ,1.02 ,2.73 ,2.47 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-29.31 ,-28.72 
