,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,105.67B ,101.09B ,131.84B ,188.03B ,211.85B ,148.88B 
Enterprise Value,131.82B ,124.85B ,162.97B ,212.27B ,235.70B ,173.67B 
Trailing P/E,88.08 ,97.75 ,31.93 ,110.42 ,-- ,-- 
Forward P/E,27.55 ,21.41 ,28.99 ,33.11 ,27.78 ,20.20 
PEG Ratio (5yr expected),1.17 ,0.54 ,0.55 ,0.54 ,1.33 ,1.73 
Price/Sales,1.93 ,1.81 ,2.37 ,3.43 ,3.96 ,2.73 
Price/Book,1.06 ,0.88 ,1.25 ,1.78 ,2.09 ,1.48 
Enterprise Value/Revenue,2.43 ,2.26 ,2.95 ,3.91 ,4.46 ,3.21 
Enterprise Value/EBITDA,40.05 ,11.23 ,13.66 ,18.88 ,28.35 ,19.53 
