,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,3.05B ,1.72B ,1.30B ,1.82B ,523.48M ,483.82M 
Enterprise Value,2.96B ,1.52B ,1.18B ,1.83B ,531.60M ,466.87M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,37.61 ,23.30 ,19.43 ,29.44 ,12.03 ,11.44 
Price/Book,10.31 ,7.68 ,8.96 ,135.47 ,46.72 ,35.78 
Enterprise Value/Revenue,43.96 ,27.49 ,23.27 ,39.89 ,13.91 ,12.92 
Enterprise Value/EBITDA,-25.42 ,-- ,-- ,-- ,-73.65 ,-36.87 
