,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,15.05B ,14.85B ,18.05B ,17.29B ,14.38B ,13.21B 
Enterprise Value,20.07B ,19.77B ,23.05B ,22.39B ,19.51B ,18.36B 
Trailing P/E,26.80 ,26.47 ,33.73 ,33.89 ,28.22 ,28.63 
Forward P/E,24.69 ,24.15 ,32.68 ,31.55 ,26.39 ,23.81 
PEG Ratio (5yr expected),2.37 ,2.13 ,2.92 ,2.99 ,2.44 ,2.16 
Price/Sales,3.28 ,3.28 ,4.01 ,3.93 ,3.28 ,3.00 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,4.30 ,4.29 ,5.08 ,5.00 ,4.37 ,4.07 
Enterprise Value/EBITDA,20.30 ,20.23 ,24.34 ,24.08 ,21.36 ,21.08 
