,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,20.55B ,18.23B ,21.30B ,27.75B ,26.47B ,30.56B 
Enterprise Value,57.89B ,57.83B ,61.19B ,70.17B ,70.72B ,76.90B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,625.00 ,-- ,-- ,126.58 ,25.25 ,-- 
PEG Ratio (5yr expected),31.04 ,-- ,-- ,-- ,1.26 ,-- 
Price/Sales,0.51 ,0.45 ,0.51 ,0.66 ,0.63 ,0.73 
Price/Book,0.60 ,0.41 ,0.47 ,0.62 ,0.58 ,0.66 
Enterprise Value/Revenue,1.45 ,1.43 ,1.48 ,1.67 ,1.69 ,1.86 
Enterprise Value/EBITDA,4.76 ,2.67 ,2.74 ,3.53 ,3.64 ,4.28 
