,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,616.59M ,1.31B ,1.43B ,4.05B ,5.32B ,7.32B 
Enterprise Value,696.26M ,1.35B ,1.48B ,3.93B ,5.02B ,7.01B 
Trailing P/E,-- ,-- ,-- ,118.30 ,25.30 ,25.05 
Forward P/E,-- ,-- ,-- ,-- ,144.93 ,11.56 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,5.82 ,0.28 
Price/Sales,0.58 ,0.86 ,0.64 ,1.36 ,1.56 ,2.09 
Price/Book,0.64 ,0.62 ,0.64 ,1.67 ,2.15 ,2.92 
Enterprise Value/Revenue,0.67 ,0.89 ,0.66 ,1.32 ,1.41 ,1.91 
Enterprise Value/EBITDA,52.70 ,-- ,-- ,27.58 ,14.88 ,16.16 
