,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,5.90B ,5.69B ,7.74B ,5.89B ,4.07B ,3.70B 
Enterprise Value,5.09B ,5.16B ,7.09B ,5.27B ,3.40B ,2.98B 
Trailing P/E,0.90 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,19.46 ,24.33 ,47.17 ,40.00 ,35.71 ,-- 
PEG Ratio (5yr expected),1.87 ,2.01 ,-- ,-- ,-- ,-- 
Price/Sales,1.13 ,1.18 ,1.69 ,1.30 ,0.92 ,0.82 
Price/Book,10.22 ,11.58 ,14.40 ,12.80 ,10.70 ,9.70 
Enterprise Value/Revenue,1.03 ,1.10 ,1.61 ,1.21 ,0.80 ,0.71 
Enterprise Value/EBITDA,51.11 ,-- ,-- ,320.37 ,143.35 ,-38.73 
