,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,3.75B ,1.72B ,1.70B ,1.06B ,983.24M ,718.63M 
Enterprise Value,3.37B ,1.35B ,1.35B ,779.63M ,775.05M ,557.23M 
Trailing P/E,29.20 ,17.01 ,22.30 ,19.64 ,27.18 ,26.46 
Forward P/E,25.13 ,15.95 ,21.60 ,16.89 ,-- ,-- 
PEG Ratio (5yr expected),1.79 ,1.14 ,1.54 ,1.21 ,-- ,-- 
Price/Sales,4.02 ,2.05 ,2.25 ,1.53 ,1.54 ,1.23 
Price/Book,8.57 ,4.37 ,4.66 ,3.06 ,3.03 ,2.35 
Enterprise Value/Revenue,3.56 ,1.59 ,1.76 ,1.11 ,1.19 ,0.93 
Enterprise Value/EBITDA,21.12 ,10.89 ,14.14 ,10.96 ,14.98 ,17.85 
