,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,332.99M ,170.16M ,267.30M ,694.97M ,608.13M ,930.66M 
Enterprise Value,697.03M ,520.15M ,592.47M ,1.02B ,955.40M ,1.27B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,58.00 
Forward P/E,8.31 ,3.73 ,5.80 ,12.50 ,7.89 ,11.67 
PEG Ratio (5yr expected),-- ,-- ,-- ,1.25 ,-- ,-- 
Price/Sales,0.64 ,0.31 ,0.46 ,1.17 ,0.98 ,1.42 
Price/Book,1.70 ,0.80 ,0.60 ,1.56 ,1.02 ,1.54 
Enterprise Value/Revenue,1.35 ,0.96 ,1.04 ,1.72 ,1.53 ,1.90 
Enterprise Value/EBITDA,21.20 ,11.29 ,10.72 ,13.89 ,9.61 ,9.95 
