,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,4.19B ,3.86B ,2.39B ,1.89B ,1.79B ,1.83B 
Enterprise Value,4.22B ,3.90B ,2.44B ,1.95B ,1.86B ,1.90B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,22.62 ,33.90 ,26.67 ,23.15 ,21.93 ,29.59 
PEG Ratio (5yr expected),0.70 ,1.04 ,0.89 ,0.71 ,0.67 ,0.91 
Price/Sales,3.62 ,3.73 ,2.35 ,1.93 ,1.88 ,1.96 
Price/Book,19.32 ,20.18 ,13.24 ,12.82 ,13.01 ,14.05 
Enterprise Value/Revenue,5.14 ,5.10 ,3.35 ,2.82 ,2.82 ,3.06 
Enterprise Value/EBITDA,-10.51 ,-- ,-106.99 ,-102.55 ,-70.35 ,-52.16 
