,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,1.52B ,1.66B ,2.56B ,3.57B ,3.07B ,4.17B 
Enterprise Value,1.94B ,2.15B ,3.03B ,4.12B ,3.69B ,4.87B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.57 ,0.62 ,0.95 ,1.37 ,1.20 ,1.66 
Price/Book,1.01 ,0.73 ,1.10 ,1.57 ,1.34 ,1.82 
Enterprise Value/Revenue,0.74 ,0.82 ,1.16 ,1.60 ,1.46 ,1.97 
Enterprise Value/EBITDA,12.16 ,12.55 ,19.64 ,50.46 ,84.75 ,253.48 
