,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,7.82M ,10.36M ,13.68M ,7.71M ,16.32M ,43.30M 
Enterprise Value,1.52M ,6.44M ,6.52M ,-33.57k ,4.75M ,26.58M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,32.93 ,6.34 ,4.91 ,3.18 ,9.61 ,37.16 
Price/Book,0.81 ,1.30 ,1.38 ,0.92 ,1.21 ,2.23 
Enterprise Value/Revenue,19.06 ,10.36 ,4.38 ,446.02 ,2.82 ,23.42 
Enterprise Value/EBITDA,-0.54 ,-- ,-- ,0.01 ,-0.88 ,-4.25 
