,Current,3/31/2024,12/31/2023,9/30/2023,6/30/2023,3/31/2023
Market Cap,11.90B ,59.14B ,15.88B ,14.51B ,13.19B ,5.59B 
Enterprise Value,12.41B ,58.80B ,15.49B ,14.36B ,13.03B ,5.48B 
Trailing P/E,10.12 ,79.03 ,26.25 ,23.99 ,23.47 ,10.09 
Forward P/E,5.98 ,32.47 ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.82 ,6.23 ,2.17 ,2.15 ,2.10 ,0.88 
Price/Book,2.18 ,19.22 ,7.34 ,7.41 ,7.46 ,3.07 
Enterprise Value/Revenue,0.83 ,6.35 ,2.10 ,2.02 ,1.98 ,0.82 
Enterprise Value/EBITDA,9.63 ,64.83 ,20.62 ,17.95 ,17.62 ,7.46 
