,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,3.98B ,3.94B ,3.08B ,2.39B ,1.66B ,1.65B 
Enterprise Value,4.63B ,4.53B ,3.62B ,2.88B ,2.42B ,2.35B 
Trailing P/E,139.76 ,230.00 ,1.10k ,791.75 ,2.33k ,-- 
Forward P/E,67.11 ,93.46 ,92.59 ,97.09 ,66.67 ,149.25 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.51 ,2.73 ,2.12 ,1.98 ,1.52 ,1.96 
Price/Book,7.81 ,9.44 ,8.44 ,7.70 ,12.25 ,12.88 
Enterprise Value/Revenue,4.14 ,4.35 ,3.75 ,3.16 ,2.85 ,2.99 
Enterprise Value/EBITDA,26.69 ,29.23 ,30.58 ,24.39 ,26.68 ,35.15 
