,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,44.27M ,16.77M ,39.21M ,57.04M ,33.34M ,57.97M 
Enterprise Value,162.91M ,116.87M ,133.50M ,142.19M ,118.49M ,143.12M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.15 ,0.06 ,0.12 ,0.14 ,0.08 ,0.14 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,0.57 ,0.34 ,0.43 ,0.35 ,0.29 ,0.35 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
