,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,1.19M ,1.19M ,3.15M ,4.29M ,5.42M ,5.88M 
Enterprise Value,-1.53M ,-3.06M ,-4.79M ,-4.20M ,-728.95k ,-2.26M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,-- ,-- ,-- ,-- ,-- ,-- 
Price/Book,0.63 ,-- ,0.43 ,0.55 ,0.78 ,0.67 
Enterprise Value/Revenue,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/EBITDA,-2.32 ,-- ,-- ,1.18 ,0.54 ,1.00 
