,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,186.29B ,181.01B ,224.45B ,165.26B ,148.30B ,163.14B 
Enterprise Value,227.92B ,220.67B ,264.94B ,200.97B ,184.03B ,201.26B 
Trailing P/E,39.36 ,107.92 ,75.07 ,69.99 ,65.89 ,39.68 
Forward P/E,19.61 ,17.95 ,26.18 ,19.19 ,15.85 ,15.80 
PEG Ratio (5yr expected),0.49 ,0.60 ,0.88 ,0.43 ,0.73 ,0.74 
Price/Sales,2.09 ,2.04 ,2.52 ,1.86 ,1.69 ,1.88 
Price/Book,1.85 ,1.86 ,2.22 ,1.67 ,1.52 ,1.67 
Enterprise Value/Revenue,2.53 ,2.47 ,2.98 ,2.26 ,2.10 ,2.31 
Enterprise Value/EBITDA,15.42 ,18.91 ,20.06 ,16.59 ,16.26 ,15.02 
