,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,3.34T ,3.50T ,4.48T ,3.93T ,3.11T ,2.88T 
Enterprise Value,3.32T ,3.50T ,4.50T ,3.93T ,3.09T ,2.87T 
Trailing P/E,35.44 ,39.18 ,50.51 ,47.33 ,41.75 ,43.26 
Forward P/E,27.32 ,28.82 ,42.73 ,38.17 ,31.55 ,31.45 
PEG Ratio (5yr expected),1.60 ,1.77 ,2.55 ,2.35 ,4.09 ,5.30 
Price/Sales,12.41 ,13.65 ,18.46 ,17.06 ,14.67 ,14.45 
Price/Book,27.70 ,31.12 ,45.28 ,36.90 ,33.47 ,31.83 
Enterprise Value/Revenue,12.27 ,13.55 ,18.41 ,16.92 ,14.41 ,14.25 
Enterprise Value/EBITDA,24.36 ,26.11 ,36.27 ,34.28 ,32.33 ,33.10 
