,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,13.38B ,11.78B ,11.46B ,10.33B ,8.16B ,6.42B 
Enterprise Value,14.02B ,12.39B ,12.04B ,10.99B ,8.85B ,7.05B 
Trailing P/E,34.46 ,32.05 ,34.69 ,34.02 ,28.10 ,22.19 
Forward P/E,27.78 ,25.84 ,30.30 ,28.17 ,23.36 ,17.73 
PEG Ratio (5yr expected),1.85 ,1.72 ,2.02 ,1.88 ,1.56 ,1.18 
Price/Sales,2.64 ,2.39 ,2.41 ,2.24 ,1.83 ,1.49 
Price/Book,10.23 ,9.33 ,9.49 ,9.04 ,7.39 ,5.93 
Enterprise Value/Revenue,2.75 ,2.50 ,2.52 ,2.37 ,1.98 ,1.62 
Enterprise Value/EBITDA,22.17 ,20.60 ,22.09 ,21.66 ,18.15 ,14.50 
