,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,2.54B ,1.25B ,1.57B ,2.20B ,1.80B ,2.74B 
Enterprise Value,3.92B ,2.77B ,3.17B ,3.80B ,3.35B ,4.26B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.90 ,0.45 ,0.56 ,0.77 ,0.63 ,0.93 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,1.45 ,1.03 ,1.16 ,1.37 ,1.20 ,1.50 
Enterprise Value/EBITDA,-- ,-- ,-28.32 ,-26.42 ,-33.36 ,-23.29 
