,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,1.74B ,2.86B ,3.71B ,5.45B ,4.77B ,6.94B 
Enterprise Value,5.74B ,5.99B ,6.25B ,7.27B ,6.00B ,7.72B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,909.09 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.13 ,2.93 ,3.82 ,5.83 ,5.14 ,7.55 
Price/Book,1.97 ,2.81 ,3.23 ,4.39 ,2.94 ,4.06 
Enterprise Value/Revenue,7.11 ,6.16 ,6.48 ,7.82 ,6.51 ,8.44 
Enterprise Value/EBITDA,-- ,-- ,-147.81 ,-559.55 ,-277.99 ,-91.60 
