,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,87.75B ,77.35B ,74.61B ,74.79B ,68.02B ,69.19B 
Enterprise Value,172.69B ,161.18B ,156.77B ,155.87B ,148.43B ,147.72B 
Trailing P/E,19.46 ,17.93 ,18.08 ,20.52 ,18.90 ,18.39 
Forward P/E,18.02 ,16.75 ,16.18 ,16.26 ,14.79 ,15.95 
PEG Ratio (5yr expected),2.69 ,2.52 ,2.46 ,2.53 ,2.42 ,2.70 
Price/Sales,2.92 ,2.62 ,2.57 ,2.56 ,2.34 ,2.38 
Price/Book,1.84 ,1.63 ,1.58 ,1.59 ,1.47 ,1.46 
Enterprise Value/Revenue,5.75 ,5.47 ,5.39 ,5.34 ,5.11 ,5.09 
Enterprise Value/EBITDA,11.79 ,11.22 ,11.31 ,11.98 ,11.63 ,11.69 
