,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,4.83B ,2.41B ,2.78B ,2.54B ,3.32B ,2.97B 
Enterprise Value,6.03B ,3.55B ,3.71B ,3.33B ,4.20B ,3.77B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,64.10 ,27.32 ,107.53 ,57.14 ,103.09 ,102.04 
PEG Ratio (5yr expected),2.56 ,1.09 ,4.31 ,2.29 ,4.11 ,4.08 
Price/Sales,3.80 ,1.77 ,2.06 ,1.79 ,2.13 ,2.00 
Price/Book,11.21 ,5.70 ,5.98 ,5.08 ,6.83 ,10.32 
Enterprise Value/Revenue,4.79 ,2.67 ,2.87 ,2.50 ,2.92 ,2.83 
Enterprise Value/EBITDA,-24.12 ,-- ,-- ,-- ,132.05 ,-44.46 
