,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,66.94B ,57.59B ,56.82B ,57.33B ,49.29B ,60.38B 
Enterprise Value,-- ,-- ,-- ,-- ,-- ,-- 
Trailing P/E,13.15 ,10.76 ,10.27 ,10.84 ,8.76 ,9.88 
Forward P/E,10.75 ,9.23 ,9.53 ,9.52 ,7.71 ,8.68 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.78 ,2.41 ,2.35 ,2.37 ,2.10 ,2.53 
Price/Book,1.28 ,1.13 ,1.10 ,1.11 ,1.00 ,1.16 
Enterprise Value/Revenue,12.16 ,12.00 ,12.17 ,12.54 ,12.65 ,12.45 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
