,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,6.39B ,4.78B ,5.61B ,6.04B ,5.23B ,1.49B 
Enterprise Value,6.87B ,4.87B ,5.63B ,6.01B ,5.45B ,2.12B 
Trailing P/E,23.93 ,18.02 ,12.41 ,21.30 ,-- ,-- 
Forward P/E,39.53 ,-- ,37.88 ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,9.07 ,7.02 ,8.59 ,11.20 ,14.34 ,6.95 
Price/Book,2.24 ,1.81 ,2.30 ,3.76 ,5.59 ,3.01 
Enterprise Value/Revenue,11.47 ,8.62 ,11.22 ,15.51 ,21.05 ,12.20 
Enterprise Value/EBITDA,13.61 ,7.72 ,7.17 ,12.86 ,11.74 ,17.65 
