,Current
Market Cap,2.30M 
Enterprise Value,1.51M 
Trailing P/E,-- 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,3.80 
Price/Book,1.36 
Enterprise Value/Revenue,3.26 
Enterprise Value/EBITDA,-0.75 
