,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,180.56B ,180.96B ,174.99B ,176.79B ,138.64B ,143.49B 
Enterprise Value,183.05B ,182.78B ,180.00B ,180.95B ,141.67B ,146.42B 
Trailing P/E,61.76 ,59.83 ,63.90 ,69.15 ,58.78 ,64.69 
Forward P/E,33.44 ,33.90 ,33.56 ,38.76 ,30.21 ,31.65 
PEG Ratio (5yr expected),1.97 ,1.83 ,1.87 ,2.20 ,2.13 ,1.95 
Price/Sales,11.23 ,11.62 ,11.75 ,12.10 ,9.75 ,10.30 
Price/Book,9.79 ,9.65 ,10.35 ,10.40 ,8.03 ,8.16 
Enterprise Value/Revenue,11.24 ,11.56 ,11.93 ,12.27 ,9.86 ,10.41 
Enterprise Value/EBITDA,39.88 ,38.63 ,40.97 ,42.13 ,34.85 ,37.21 
