,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,118.28M ,400.78M ,529.87M ,1.79B ,1.80B ,1.87B 
Enterprise Value,6.70B ,6.71B ,6.48B ,7.48B ,6.91B ,6.73B 
Trailing P/E,230.00 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,33.00 ,-- ,-- ,-- ,-- ,57.14 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.02 ,0.08 ,0.10 ,0.33 ,0.33 ,0.34 
Price/Book,0.15 ,0.40 ,0.47 ,1.36 ,1.22 ,1.27 
Enterprise Value/Revenue,1.31 ,1.27 ,1.21 ,1.38 ,1.25 ,1.23 
Enterprise Value/EBITDA,-57.77 ,-- ,-185.69 ,-62.84 ,-76.02 ,53.52 
