,Current
Market Cap,611.03B 
Enterprise Value,631.35B 
Trailing P/E,16.81 
Forward P/E,10.99 
PEG Ratio (5yr expected),0.37 
Price/Sales,4.46 
Price/Book,1.99 
Enterprise Value/Revenue,4.41 
Enterprise Value/EBITDA,-- 
