,Current
Market Cap,20.61M 
Enterprise Value,20.82M 
Trailing P/E,-- 
Forward P/E,-- 
PEG Ratio (5yr expected),-- 
Price/Sales,4.09 
Price/Book,5.41 
Enterprise Value/Revenue,4.15 
Enterprise Value/EBITDA,-- 
