,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,3.06B ,3.59B ,4.53B ,4.30B ,2.70B ,2.67B 
Enterprise Value,2.19B ,2.64B ,3.85B ,3.75B ,2.19B ,2.21B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,120.48 ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.56 ,1.85 ,2.37 ,2.81 ,1.99 ,2.94 
Price/Book,7.31 ,8.69 ,28.35 ,53.27k ,1.11k ,1.13k 
Enterprise Value/Revenue,1.31 ,1.76 ,2.88 ,3.19 ,2.13 ,2.48 
Enterprise Value/EBITDA,-23.85 ,-- ,-80.65 ,-236.67 ,-44.53 ,-55.90 
