,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,10.07B ,22.65B ,25.92B ,34.92B ,33.48B ,30.95B 
Enterprise Value,12.71B ,25.30B ,28.57B ,37.57B ,36.12B ,33.60B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,26.67 ,75.76 ,83.33 ,51.28 ,46.08 ,64.10 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,5.42 ,12.17 ,12.45 ,17.39 ,17.37 ,15.94 
Price/Book,0.68 ,1.53 ,1.74 ,2.35 ,2.26 ,2.09 
Enterprise Value/Revenue,6.89 ,13.60 ,13.74 ,18.72 ,18.75 ,17.38 
Enterprise Value/EBITDA,42.81 ,70.86 ,54.01 ,76.21 ,77.02 ,65.89 
