,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,5.56B ,1.73B ,400.58M ,543.37M ,339.99M ,420.20M 
Enterprise Value,5.49B ,1.69B ,339.17M ,481.96M ,167.41M ,252.91M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,2.20k ,2.19k ,-- ,-- ,59.65 ,24.45 
Price/Book,38.31 ,10.50 ,3.13 ,4.25 ,2.33 ,3.54 
Enterprise Value/Revenue,3.92k ,3.38k ,-- ,-- ,40.17 ,22.12 
Enterprise Value/EBITDA,-2.34 ,-- ,-- ,-11.67 ,-4.19 ,-5.75 
