,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,5.43B ,2.75B ,2.35B ,2.59B ,1.26B ,3.75B 
Enterprise Value,5.33B ,2.65B ,2.24B ,2.47B ,1.23B ,3.72B 
Trailing P/E,37.18 ,59.30 ,169.00 ,-- ,-- ,-- 
Forward P/E,25.25 ,74.07 ,151.52 ,74.07 ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,20.99 ,9.22 ,9.67 ,12.94 ,48.16 ,396.68 
Price/Book,28.26 ,17.17 ,14.65 ,15.70 ,31.30 ,136.66 
Enterprise Value/Revenue,20.12 ,9.16 ,9.60 ,13.00 ,50.98 ,433.68 
Enterprise Value/EBITDA,966.16 ,49.04 ,85.90 ,-214.43 ,10.41 ,-84.68 
