,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,153.34B ,175.70B ,164.48B ,136.52B ,110.25B ,126.81B 
Enterprise Value,150.91B ,174.14B ,162.97B ,135.65B ,109.81B ,127.83B 
Trailing P/E,20.90 ,24.39 ,23.37 ,20.26 ,17.46 ,20.00 
Forward P/E,19.05 ,22.42 ,24.04 ,20.12 ,16.16 ,20.08 
PEG Ratio (5yr expected),1.72 ,2.06 ,2.37 ,1.94 ,1.64 ,4.73 
Price/Sales,5.80 ,6.72 ,6.32 ,5.24 ,4.23 ,4.87 
Price/Book,8.14 ,9.65 ,9.44 ,8.35 ,7.30 ,8.98 
Enterprise Value/Revenue,5.62 ,6.57 ,6.15 ,5.12 ,4.14 ,4.80 
Enterprise Value/EBITDA,16.62 ,19.48 ,18.56 ,16.02 ,13.33 ,15.43 
