,Current,3/31/2024,6/30/2023,3/31/2023
Market Cap,371.15k ,4.19M ,3.57M ,3.97M 
Enterprise Value,1.32M ,4.70M ,1.03M ,765.36k 
Trailing P/E,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- 
Price/Sales,0.51 ,0.12 ,0.08 ,0.52 
Price/Book,0.27 ,1.65 ,-- ,3.14 
Enterprise Value/Revenue,1.83 ,1.03 ,0.21 ,0.31 
Enterprise Value/EBITDA,-0.17 ,-- ,0.17 ,-- 
