,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,7.31M ,5.40M ,12.37M ,1.85M ,1.86M ,1.34M 
Enterprise Value,6.43M ,4.25M ,14.06M ,621.00k ,635.88k ,3.95M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,0.00 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,0.10 ,0.12 ,0.53 ,1.29 ,3.17 ,3.64 
Price/Book,0.74 ,0.60 ,6.36 ,0.33 ,0.41 ,0.67 
Enterprise Value/Revenue,0.48 ,0.78 ,17.29 ,10.53 ,10.78 ,66.88 
Enterprise Value/EBITDA,-0.17 ,-- ,-- ,-- ,-0.09 ,-26.66 
