,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,74.91B ,61.63B ,56.86B ,39.61B ,34.38B ,37.42B 
Enterprise Value,-- ,-- ,-- ,-- ,-- ,-- 
Trailing P/E,49.82 ,49.54 ,56.25 ,111.96 ,525.36 ,-- 
Forward P/E,26.45 ,29.94 ,27.40 ,24.81 ,22.08 ,48.31 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,10.53 ,9.66 ,10.29 ,8.16 ,8.23 ,10.55 
Price/Book,10.82 ,9.06 ,8.90 ,6.74 ,6.11 ,7.18 
Enterprise Value/Revenue,10.36 ,9.69 ,10.30 ,8.30 ,8.28 ,10.79 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
