,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,106.76B ,84.19B ,109.91B ,104.40B ,121.25B ,133.59B 
Enterprise Value,154.11B ,131.92B ,139.10B ,135.99B ,151.71B ,163.69B 
Trailing P/E,22.79 ,-- ,14.05 ,13.02 ,15.44 ,18.64 
Forward P/E,7.60 ,80.00 ,7.63 ,6.88 ,7.35 ,7.89 
PEG Ratio (5yr expected),2.05 ,31.95 ,2.46 ,0.58 ,0.47 ,-- 
Price/Sales,2.31 ,1.87 ,2.50 ,2.40 ,2.72 ,2.98 
Price/Book,6.27 ,5.10 ,3.74 ,3.58 ,3.69 ,4.20 
Enterprise Value/Revenue,3.31 ,2.90 ,3.09 ,3.03 ,3.36 ,3.57 
Enterprise Value/EBITDA,29.93 ,24.80 ,7.18 ,6.94 ,7.65 ,8.14 
