,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,2.45B ,1.18B ,1.16B ,1.15B ,1.13B ,809.76M 
Enterprise Value,2.21B ,901.13M ,938.78M ,930.98M ,933.57M ,652.86M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,4.91 ,2.46 ,2.54 ,2.66 ,2.78 ,2.21 
Price/Book,4.13 ,1.85 ,1.73 ,1.63 ,1.56 ,1.05 
Enterprise Value/Revenue,4.48 ,1.91 ,2.07 ,2.17 ,2.32 ,1.80 
Enterprise Value/EBITDA,-- ,-- ,-- ,-- ,-- ,-- 
