,Current,9/30/2024,6/30/2024,3/31/2024,12/31/2023,9/30/2023
Market Cap,95.35M ,55.00M ,72.16M ,50.61M ,24.62M ,45.58M 
Enterprise Value,97.14M ,56.42M ,73.98M ,49.62M ,23.62M ,44.50M 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,128.21 ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,7.41 ,4.23 ,5.04 ,4.65 ,2.26 ,5.20 
Price/Book,18.43 ,14.79 ,28.67 ,54.83 ,20.64 ,13.18 
Enterprise Value/Revenue,10.01 ,5.90 ,7.53 ,5.33 ,2.54 ,5.81 
Enterprise Value/EBITDA,-6.35 ,-- ,-- ,-- ,-5.46 ,-9.96 
