,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,5.56B ,5.04B ,4.50B ,3.39B ,3.23B ,2.50B 
Enterprise Value,5.52B ,5.02B ,4.46B ,3.40B ,3.28B ,2.53B 
Trailing P/E,94.29 ,81.90 ,-- ,-- ,-- ,-- 
Forward P/E,62.50 ,54.64 ,53.19 ,40.16 ,62.11 ,39.06 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,7.28 ,6.81 ,6.04 ,4.78 ,4.98 ,4.41 
Price/Book,6.57 ,6.12 ,5.53 ,4.28 ,5.61 ,4.55 
Enterprise Value/Revenue,7.33 ,7.01 ,6.32 ,5.21 ,5.61 ,4.69 
Enterprise Value/EBITDA,53.80 ,48.67 ,-- ,136.63 ,106.53 ,78.74 
