,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,26.93B ,29.91B ,34.94B ,32.36B ,36.39B ,29.63B 
Enterprise Value,33.52B ,36.80B ,41.49B ,39.22B ,43.36B ,36.71B 
Trailing P/E,10.13 ,11.73 ,13.50 ,12.42 ,14.94 ,15.27 
Forward P/E,8.45 ,10.02 ,11.57 ,10.34 ,11.48 ,10.60 
PEG Ratio (5yr expected),1.51 ,2.38 ,3.88 ,1.03 ,1.12 ,1.03 
Price/Sales,1.18 ,1.31 ,1.54 ,1.43 ,1.64 ,1.38 
Price/Book,2.69 ,3.10 ,3.71 ,3.51 ,4.17 ,3.52 
Enterprise Value/Revenue,1.45 ,1.59 ,1.80 ,1.72 ,1.93 ,1.69 
Enterprise Value/EBITDA,6.61 ,7.49 ,8.40 ,8.17 ,9.44 ,9.09 
