,Current,6/30/2024,3/31/2024,12/31/2023,9/30/2023,6/30/2023
Market Cap,13.54B ,10.87B ,11.46B ,13.45B ,10.66B ,11.63B 
Enterprise Value,12.72B ,9.81B ,10.49B ,12.08B ,9.23B ,10.13B 
Trailing P/E,-- ,-- ,-- ,-- ,-- ,-- 
Forward P/E,36.36 ,60.98 ,35.09 ,42.92 ,28.65 ,67.57 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,6.62 ,5.41 ,5.86 ,7.16 ,5.76 ,6.34 
Price/Book,3.04 ,2.35 ,2.55 ,2.98 ,2.40 ,2.59 
Enterprise Value/Revenue,6.14 ,4.89 ,5.39 ,6.34 ,4.88 ,5.35 
Enterprise Value/EBITDA,85.36 ,83.12 ,100.83 ,154.88 ,214.75 ,133.24 
