,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,142.84M ,251.70M ,425.31M ,542.23M ,491.18M ,973.90M 
Enterprise Value,83.95M ,202.80M ,325.17M ,387.63M ,298.77M ,814.34M 
Trailing P/E,23.93 ,-- ,-- ,-- ,-- ,-- 
Forward P/E,-- ,-- ,-- ,-- ,-- ,-- 
PEG Ratio (5yr expected),-- ,-- ,-- ,-- ,-- ,-- 
Price/Sales,1.27 ,2.58 ,3.88 ,4.08 ,3.18 ,5.57 
Price/Book,0.21 ,0.39 ,0.64 ,0.79 ,0.70 ,1.53 
Enterprise Value/Revenue,0.98 ,2.33 ,3.16 ,3.14 ,2.13 ,5.16 
Enterprise Value/EBITDA,-- ,-- ,-- ,-11.58 ,-14.63 ,-54.05 
