,Current,7/31/2024,4/30/2024,1/31/2024,10/31/2023,7/31/2023
Market Cap,6.73B ,8.20B ,10.16B ,9.64B ,6.73B ,8.45B 
Enterprise Value,11.58B ,12.81B ,14.65B ,14.94B ,11.83B ,13.38B 
Trailing P/E,7.45 ,9.50 ,11.83 ,13.59 ,9.82 ,11.92 
Forward P/E,8.65 ,11.38 ,13.76 ,12.74 ,9.27 ,13.48 
PEG Ratio (5yr expected),0.92 ,0.92 ,1.19 ,1.43 ,0.78 ,1.10 
Price/Sales,0.94 ,1.13 ,1.40 ,1.32 ,0.91 ,1.13 
Price/Book,-- ,-- ,-- ,-- ,-- ,-- 
Enterprise Value/Revenue,1.57 ,1.73 ,1.97 ,2.02 ,1.59 ,1.78 
Enterprise Value/EBITDA,6.95 ,7.80 ,8.96 ,9.47 ,7.75 ,8.67 
